,control
ASPN,2.7667143037034867
ASPSCR1,1.8329754596775039
ASRGL1,1.309813557186163
ASS1,2.590339970507384
ASUN,1.860255674234106
ATAD3A,1.6073151616728953
ATAD3B,1.3429904463985614
ATAD3C,0.2856957589421703
ATAT1,1.7493686432077256
ATE1,1.319154301447964
ATF1,3.2192143761341616
ATF2,2.1832854600628964
ATF3,2.089808283377134
ATF4,6.917079560188055
ATF5,3.0175920096376014
ATF6B,2.176290854255504
ATF7,2.193179722797537
ATF7IP,2.100792002293164
ATG101,4.09757472879955
ATG12,2.326402448696453
ATG13,1.2562818429896117
ATG16L1,2.3664481166828124
ATG16L2,0.9624098363924988
ATG3,2.2799517177827533
ATG4A,2.7822621910576224
ATG4B,2.943635383996532
ATG4D,3.485427600042378
ATG5,2.562003268155014
ATG7,0.7158784384668633
ATG9A,5.0467368579352385
ATHL1,1.795003430460206
ATIC,2.6518273510994717
ATL2,2.9715477843172793
ATL3,1.9885996220560116
ATMIN,2.669419823675735
ATN1,4.323466557775618
ATOH8,2.4446922422337254
ATOX1,0.0
ATP10A,0.4134543551773233
ATP11A,1.6584651462316016
ATP13A1,1.9250191919703834
ATP13A2,1.0721771615141935
ATP13A3,2.0164802740143686
ATP13A5_AS1,1.6462889450620513
ATP1A1,3.1228141655713433
ATP1A2,7.335650820266176
ATP1B1,6.888747144778342
ATP1B2,1.483513988705543
ATP1B3,3.8331662764678085
ATP1B4,3.7080047627445087
ATP2A1,9.629913194439018
ATP2A1_AS1,5.4107464664065
ATP2A2,7.463509529375019
ATP2A3,0.7243071270541944
ATP2B1,1.7477732125862788
ATP2B2,0.69606683656633
ATP2B4,1.7971234072444768
ATP5A1,6.707114847253274
ATP5B,8.630513769295822
ATP5C1,4.049167480209613
ATP5D,6.888009735090662
ATP5EP2,6.052145624370556
ATP5G1,6.807588696999942
ATP5G2,6.328127739252662
ATP5G3,3.7574174794855537
ATP5H,7.09111363606554
ATP5J,5.410208695444951
ATP5J2,6.355213436927213
ATP5L2,1.7359765763290034
ATP5O,6.345765944136694
ATP5S,2.2857040434810214
ATP6AP1,4.835362597012076
ATP6AP1L,1.244885841658851
ATP6AP2,3.587056014671744
ATP6V0A1,3.8040662630558932
ATP6V0B,3.9013447136038573
ATP6V0C,7.153695204803294
ATP6V0E1,6.1529375939885895
ATP6V0E2,2.2286515590219023
ATP6V1A,2.281944785244648
ATP6V1B2,4.076074096384101
ATP6V1C2,0.14235592498849475
ATP6V1E1,5.626504903401351
ATP6V1F,5.612134750974186
ATP6V1G2,0.9377752529039382
ATP6V1G2_DDX39B,4.798856010667503
ATP6V1H,0.27913963081610554
ATP8A1,2.2982509606187596
ATP8B2,1.3630757355211578
ATP8B5P,1.5132608056384393
ATP9A,3.17439778918048
ATPAF1,5.557498410106257
ATPAF2,2.768580495319447
ATPIF1,5.554939383984623
ATRAID,4.823909769705301
ATRX,0.24540682268438047
ATXN1,2.42379543283109
ATXN1L,2.0084592797147933
ATXN2,1.9273636387858546
ATXN2L,2.8588861266416643
ATXN7L2,3.2393004226211155
ATXN7L3,2.431805324093819
AUH,2.7283195631283035
AUP1,4.248955409085101
AURKA,1.2943554891591047
AURKAIP1,5.532133774063319
AURKB,0.0
AUTS2,1.856280996647863
AVEN,3.4377666510629865
AVIL,1.5901051878994579
AVPI1,2.267026345393808
AVPR2,1.3218363365648162
AXIN1,2.4610777123160954
AXL,2.0845177577724994
AZGP1,0.239825714946621
AZI2,1.9755083975773444
AZIN1,3.2254240973185984
AZIN2,0.6025756508166985
B2M,10.218268629942914
B3GALT4,1.4424440711033943
B3GALT6,3.0220867042586645
B3GAT3,2.1605656003671667
B3GNT2,1.8271170131886871
B3GNT5,1.6778649537000587
B3GNT7,0.43750474386205307
B3GNT9,1.5253277373492367
B3GNTL1,0.8748213548111345
B4GALNT1,1.1423480821446812
B4GALT1,3.4905198149374894
B4GALT2,4.012713472058284
B4GALT3,2.6888817251200274
B4GALT4,1.590723685938238
B4GALT5,4.2358844918532865
B4GALT7,3.161463516044969
B4GAT1,3.898625328839068
B9D1,1.1547452131452838
B9D2,0.9227017520030606
BABAM1,4.847386587606939
BACE1,2.287330737391042
BACE1_AS,1.7906953144671622
BACE2,1.3557306669091724
BACH1,1.9204651936594184
BAD,3.4881238189870474
BAG1,3.3614410494489966
BAG2,3.7540146748534204
BAG3,7.403683528121868
BAG5,2.498087693321406
BAG6,4.5150824534642275
BAIAP2,1.0324866860345283
BAK1,1.9669047657728986
BAMBI,1.3282045724656792
BANF1,6.494947610102967
BANP,1.7352180095231609
BASP1,2.1830351351804027
BATF,0.5522777071555122
BATF2,1.9121504872075321
BATF3,1.040380472320928
BAX,3.0231717693915425
BAZ1A,1.390428316983431
BAZ1B,2.648711393512468
BAZ2A,1.2652370413381193
BAZ2B,1.3090463507266448
BBC3,1.4264547753203543
BBIP1,1.9537725612045218
BBS10,1.7883804366174498
BBS2,2.5018375669676916
BBX,1.6021950751692347
BCAM,2.5784165924030242
BCAP29,2.9823472850524406
BCAP31,3.9662576879536084
BCAR1,4.22690159524328
BCAR3,2.442763064772747
BCAS1,0.6360403485016611
BCAS2,4.354101106275076
BCAT2,3.3049821771097014
BCCIP,3.8611052730927606
BCHE,1.072568898157231
BCKDHA,4.509999295295423
BCKDK,3.6094015720584163
BCL10,1.6534200725230779
BCL2,2.5421465926258744
BCL2A1,0.6833479199599006
BCL2L1,2.9380452285459575
BCL2L11,1.7575161542394775
BCL2L12,2.1638229801965996
BCL2L13,4.259960296480155
BCL2L2,2.692467371587815
BCL3,2.601202778362966
BCL6,5.470606883233969
BCL6B,1.6222149153332757
BCL7A,2.3731576255377527
BCL7B,4.758849148596187
BCL7C,2.9565176462396585
BCL9L,2.76495861412951
BCLAF1,2.643046899449571
BCO2,1.6327972617953366
BCOR,1.6620710241804721
BCS1L,3.1969670434874202
BDH1,1.6869804866037306
BDH2,1.7333274389818007
BDKRB1,0.28634417610890245
BDKRB2,0.8117299525576881
BECN1,0.401403287026982
BEGAIN,0.5639683508250989
BEND5,0.7902198720263823
BEND7,2.165428977225183
BEST3,4.233568754957003
BET1L,1.8085687483076365
BEX1,0.0
BEX2,1.7670144469809745
BEX4,2.199913205729704
BGLAP,0.0
BGN,5.300150051682461
BHLHE40,5.686839786753312
BHLHE41,4.474289300140104
BHMT2,2.0479291966016016
BICC1,1.455656265216038
BICD2,2.5414422320604633
BID,3.3869432104420643
BIN1,8.280607393062647
BIN2,0.8352158887829843
BIN3,2.1476769321421054
BIRC2,3.170961766262542
BIRC3,0.9422907881584106
BIRC5,0.4315758941954081
BISPR,0.777417611310043
BIVM,1.0221731914383199
BIVM_ERCC5,2.485196235160551
BLCAP,7.394000889695841
BLMH,2.797241507539417
BLOC1S1,3.640596173434391
BLOC1S1_RDH5,0.0
BLOC1S2,0.42720817003611977
BLOC1S3,1.8856688490175366
BLOC1S4,2.7402950961305144
BLOC1S5_TXNDC5,0.43198552665775064
BLOC1S6,3.2739714527886368
BLVRA,4.117547358320247
BLVRB,5.543994553982994
BLZF1,1.7183436505667908
BMF,1.1889604222487435
